address,label,total_lp_amount,total_usp_debt,usp_balance,total_balance
0x8b3d9f0017fa369cd8c164d0cc078bf4ca588ae5,Vector,7125824.647093408,0.0,0.0,7125824.647093408
0xa16bbab03b61810ba8633343d9ffc04b086506b5,User,0.0,0.0,3169354.5660138302,3169354.5660138302
0xc204501f33ec40b8610bb2d753dd540ec6ea2646,Echidna 1,2743852.9389648335,0.0,0.0,2743852.9389648335
0x40089e90156fc6f994cc0ec86dbe84634a1c156f,Yield Yak 2,300092.4394592064,0.0,0.0,300092.4394592064
0x187b6ab771482ccfee7cd2c35176080631082368,User,250021.3904200029,0.0,0.0,250021.3904200029
0xbdbfbb49ec9c1d18e2976062616d60e8d3126d7d,User,314358.31320041325,180534.62240089444,0.0,133823.6907995188
0x7cd7a5a66d3cd2f13559d7f8a052fa6014e07d35,User,119618.436575,0.0,0.0,119618.436575
0xeb6cf828acadadf91341c04140216fa65f26b296,User,99841.14,0.0,0.0,99841.14
0x4cf9bb91ea8a1aac9f387b0e409b0fbbd79e8f76,User,400704.7199686817,327776.78805985535,0.0,72927.93190882634
0xa5157c84d34b04acd5a6f42aac42770975fadf23,User,62490.66899400001,0.0,0.0,62490.66899400001
0x3d5aeff2ef3e0cea80f43340215d6bdfc8b336a7,User,236766.415637,177356.3394118043,0.0,59410.07622519569
0x8a75cdf235658dd450d8ad78a33b729b85e0b93c,User,52614.009810999996,0.0,0.0,52614.009810999996
0x1cf110a556049a8e446297a0d120565a2556f78c,User,50416.372817,0.0,0.0,50416.372817
0x43cf1fd9260ada2ec8069ce7cbd04318b1f9c3ff,Echidna 4,49606.76277376336,0.0,0.0,49606.76277376336
0xa50c105b7a448513471391763d0f539c6c7999d3,User,47806.062976,0.0,0.0,47806.062976
0xd74472f429ee04150ab1f75870fc57b72fb4cf54,User,40001.526028,0.0,0.0,40001.526028
0x4a9c3d4e9eb18d2fa4b3f0f71dcce0b505c8b79f,User,39979.09169923155,0.0,0.0,39979.09169923155
0x0f1410a815105f4429a404d2101890aa11d97951,User,35236.608500999995,0.0,0.0,35236.608500999995
0xe51a5ee79c1fc3907c3657b2243a427c40f70ad7,User,185998.36753710592,150982.9805754832,0.0,35015.38696162272
0xb680f628c56c8fa368dacbb0c27beef8c98355b9,User,34523.81010211873,0.0,0.0,34523.81010211873
0xe7f67ce0aaa8c827795c3261cb79259ceee41e11,User,33977.078989999995,0.0,0.0,33977.078989999995
0x50e3449024632221562c6bd11e1d5d4a6cc06a3f,User,255559.32093782467,223026.22189451696,1.8899e-14,32533.09904330771
0xbf4c796931727fce4b42e8a7f1b284681a0d5a7c,User,55008.34465383514,23372.354985356957,0.0,31635.989668478185
0xf72eb04e8cd1fea9ebb9c58fe3757e696df734fb,User,30395.850125298148,0.0,0.0,30395.850125298148
0x41b5e243ea178d277a510025ecd02887c3126a40,User,49999.70113011224,20002.87451800641,0.0,29996.82661210583
0xb655353f8357b8e7e8561e5535e5a9b11b069df7,User,145464.62600403227,115643.35872925729,0.0,29821.267274774975
0x5cd8072f4329a27d27a7d1d6db8cfde95b25d0bc,User,202045.94120100074,173485.52764071466,0.0,28560.413560286077
0xcba1a275e2d858ecffaf7a87f606f74b719a8a93,User,513530.05996421113,485473.2346231691,0.0,28056.825341042015
0xe35cce502b4bf974d517636bd66e7b2472d63ec9,User,28003.596455028768,0.0,0.0,28003.596455028768
0xd6c194cc886cafb078889a625b62221b069e7c81,User,26946.070186000004,0.0,0.0,26946.070186000004
0xa6faa57cde274be284718bc7d6acf28c34ced2c0,User,25000.601517000003,0.0,0.0,25000.601517000003
0x638081792904915f1b7c770bf160f35cc93d6792,User,47142.23855237985,22146.165840789658,0.0,24996.072711590194
0xf49cacced19d6edf02c6de9c01be5bfb494fc9ad,User,24892.004405,0.0,0.0,24892.004405
